studyID,speciesID
CHO-1,PARMAJ
HAR-1,FICHYP
HAR-1,PARMAJ
HAR-1,CYACAE
HAR-1,PERATE
BAN-1,PARMAJ
BAN-1,CYACAE
BAN-1,PERATE
SSQ-1,PARMAJ
SSQ-1,CYACAE
BOS-1,PARMAJ
BOS-1,CYACAE
PEE-1,PARMAJ
PEE-1,CYACAE
VEL-1,FICALB
VEL-1,PARMAJ
VEL-1,CYACAE
HOG-1,POEPAL
HOG-1,FICHYP
HOG-1,PARMAJ
HOG-1,CYACAE
HOG-1,PASMON
HOG-1,PERATE
HOG-1,SITEUR
BUU-1,FICHYP
BUU-1,PARMAJ
BUU-1,CYACAE
BUU-1,PERATE
BUU-1,SITEUR
LIC-1,POEPAL
LIC-1,FICHYP
LIC-1,PARMAJ
LIC-1,CYACAE
LIC-1,PERATE
LIC-1,SITEUR
LIE-1,FICHYP
LIE-1,PARMAJ
LIE-1,CYACAE
LIE-1,PERATE
LIE-1,SITEUR
OOS-1,FICHYP
OOS-1,PARMAJ
OOS-1,CYACAE
OOS-1,SITEUR
VLI-1,PARMAJ
VLI-1,CYACAE
VLI-1,PERATE
WAR-1,FICHYP
WAR-1,PARMAJ
WAR-1,CYACAE
WAR-1,PERATE
WAR-1,SITEUR
WES-1,POEPAL
WES-1,FICHYP
WES-1,PARMAJ
WES-1,CYACAE
WES-1,PERATE
WES-1,SITEUR
WYT-1,PARMAJ
WYT-1,CYACAE
MIS-1,PARMAJ
MIS-1,CYACAE
MIS-1,PERATE
ROU-1,PARMAJ
ROU-1,CYACAE
MON-1,PARMAJ
MON-1,CYACAE
MTV-1,PARMAJ
MTV-1,CYACAE
MTV-1,PERATE
MTV-1,SITEUR
MUR-1,PARMAJ
MUR-1,CYACAE
MUR-1,PERATE
PIR-1,PARMAJ
PIR-1,CYACAE
PIR-1,PERATE
KEV-1,FICHYP
KEV-1,POECIN
KEV-1,PARMAJ
KEV-1,PHOPHO
HOC-1,PARMAJ
PIL-1,CYACAE
PIL-1,FICALB
PIL-1,PARMAJ
PIL-1,SITEUR
AMM-1,PARMAJ
AMM-1,CYACAE
AMM-1,PERATE
AMM-1,SITEUR
EDM-1,CYACAE
EDM-1,FICHYP
EDM-1,PARMAJ
EDM-1,PHOPHO
EDM-1,POEPAL
EDM-1,SITEUR
EDM-1,PERATE
DIN-1,CYACAE
DIN-1,FICHYP
DIN-1,PARMAJ
DIN-1,PHOPHO
DIN-1,SITEUR
KAT-1,FICHYP
KAT-1,PHOPHO
NAG-1,CYACAE
NAG-1,FICHYP
NAG-1,PARMAJ
NAG-1,PHOPHO
OKE-1,CYACAE
OKE-1,FICHYP
OKE-1,PARMAJ
OKE-1,POEPAL
OKE-1,SITEUR
OKE-1,PERATE
TEI-1,CYACAE
TEI-1,FICHYP
TEI-1,PARMAJ
TEI-1,PHOPHO
TEI-1,POEPAL
TEI-1,SITEUR
TEI-1,PERATE
PEW-1,CYACAE
KIL-1,PARMAJ
CAS-1,CYACAE
CAS-1,PARMAJ
GAR-1,CYACAE
GAR-1,PARMAJ
KEL-1,CYACAE
KEL-1,PARMAJ
SCE-1,CYACAE
SCE-1,PARMAJ
SAL-1,CYACAE
SAL-1,PARMAJ
GRO-1,CYACAE
GRO-1,PARMAJ
GRO-1,FICALB
WRS-1,CYACAE
WRS-1,PARMAJ
WRS-1,FICHYP
WRS-1,PHOPHO
WRS-1,PASMON
WRS-1,PERATE
WRS-1,SITEUR
